sample	fq1	fq2	timepoint	type	shrimp	pond	code	om_percent	nitrite	ph	ammonia	feedinput	temperature	do	trial	shared	trt
1V3V4	1V3V4_R1.fastq	1V3V4_R2.fastq	T0	Gut	1	D1	D1S1GT0	1.531393568	0	8.46	0.1	19.17	31.23	7.02	1	0	1
2V3V4	2V3V4_R1.fastq	2V3V4_R2.fastq	T0	Gut	2	D1	D1S2GT0	1.531393568	0	8.46	0.1	19.17	31.23	7.02	1	0	1
3V3V4	3V3V4_R1.fastq	3V3V4_R2.fastq	T0	Gut	3	D1	D1S3GT0	1.531393568	0	8.46	0.1	19.17	31.23	7.02	1	0	1
4V3V4	4V3V4_R1.fastq	4V3V4_R2.fastq	T0	Gut	4	D1	D1S4GT0	1.531393568	0	8.46	0.1	19.17	31.23	7.02	1	0	1
5V3V4	5V3V4_R1.fastq	5V3V4_R2.fastq	T0	Gut	5	D1	D1S5GT0	1.531393568	0	8.46	0.1	19.17	31.23	7.02	1	0	1
6V3V4	6V3V4_R1.fastq	6V3V4_R2.fastq	T0	Gut	1	D4	D4S1GT0	1.652892562	0	8.56	0.04	19.17	29.44	7.13	1	0	1
7V3V4	7V3V4_R1.fastq	7V3V4_R2.fastq	T0	Gut	2	D4	D4S2GT0	1.652892562	0	8.56	0.04	19.17	29.44	7.13	1	0	1
8V3V4	8V3V4_R1.fastq	8V3V4_R2.fastq	T0	Gut	3	D4	D4S3GT0	1.652892562	0	8.56	0.04	19.17	29.44	7.13	1	0	1
9V3V4	9V3V4_R1.fastq	9V3V4_R2.fastq	T0	Gut	4	D4	D4S4GT0	1.652892562	0	8.56	0.04	19.17	29.44	7.13	1	0	1
10V3V4	10V3V4_R1.fastq	10V3V4_R2.fastq	T0	Gut	5	D4	D4S5GT0	1.652892562	0	8.56	0.04	19.17	29.44	7.13	1	0	1
11V3V4	11V3V4_R1.fastq	11V3V4_R2.fastq	T0	Gut	1	C3	C3S1GT0	1.083032491	0	8.41	0.04	19.17	30.42	6.63	1	0	1
12V3V4	12V3V4_R1.fastq	12V3V4_R2.fastq	T0	Gut	2	C3	C3S2GT0	1.083032491	0	8.41	0.04	19.17	30.42	6.63	1	0	1
13V3V4	13V3V4_R1.fastq	13V3V4_R2.fastq	T0	Gut	3	C3	C3S3GT0	1.083032491	0	8.41	0.04	19.17	30.42	6.63	1	0	1
14V3V4	14V3V4_R1.fastq	14V3V4_R2.fastq	T0	Gut	4	C3	C3S4GT0	1.083032491	0	8.41	0.04	19.17	30.42	6.63	1	0	1
15V3V4	15V3V4_R1.fastq	15V3V4_R2.fastq	T0	Gut	5	C3	C3S5GT0	1.083032491	0	8.41	0.04	19.17	30.42	6.63	1	0	1
16V3V4	16V3V4_R1.fastq	16V3V4_R2.fastq	T0	Gut	1	C6	C6S1GT0	1.903114187	0	8.14	0.09	19.17	29.99	7.21	1	0	1
17V3V4	17V3V4_R1.fastq	17V3V4_R2.fastq	T0	Gut	2	C6	C6S2GT0	1.903114187	0	8.14	0.09	19.17	29.99	7.21	1	0	1
18V3V4	18V3V4_R1.fastq	18V3V4_R2.fastq	T0	Gut	3	C6	C6S3GT0	1.903114187	0	8.14	0.09	19.17	29.99	7.21	1	0	1
19V3V4	19V3V4_R1.fastq	19V3V4_R2.fastq	T0	Gut	4	C6	C6S4GT0	1.903114187	0	8.14	0.09	19.17	29.99	7.21	1	0	1
20V3V4	20V3V4_R1.fastq	20V3V4_R2.fastq	T0	Gut	5	C6	C6S5GT0	1.903114187	0	8.14	0.09	19.17	29.99	7.21	1	0	1
21V3V4	21V3V4_R1.fastq	21V3V4_R2.fastq	T1	Gut	1	D1	D1S1GT1	1.918465228	0.27	8.24	0.04	59.62	31.78	5.67	1	0	1
22V3V4	22V3V4_R1.fastq	22V3V4_R2.fastq	T1	Gut	2	D1	D1S2GT1	1.918465228	0.27	8.24	0.04	59.62	31.78	5.67	1	0	1
23V3V4	23V3V4_R1.fastq	23V3V4_R2.fastq	T1	Gut	3	D1	D1S3GT1	1.918465228	0.27	8.24	0.04	59.62	31.78	5.67	1	0	1
24V3V4	24V3V4_R1.fastq	24V3V4_R2.fastq	T1	Gut	4	D1	D1S4GT1	1.918465228	0.27	8.24	0.04	59.62	31.78	5.67	1	0	1
25V3V4	25V3V4_R1.fastq	25V3V4_R2.fastq	T1	Gut	5	D1	D1S5GT1	1.918465228	0.27	8.24	0.04	59.62	31.78	5.67	1	0	1
26V3V4	26V3V4_R1.fastq	26V3V4_R2.fastq	T1	Gut	1	D4	D4S1GT1	0.662251656	0	8.52	0.05	59.62	31.25	6.81	1	0	1
27V3V4	27V3V4_R1.fastq	27V3V4_R2.fastq	T1	Gut	2	D4	D4S2GT1	0.662251656	0	8.52	0.05	59.62	31.25	6.81	1	0	1
28V3V4	28V3V4_R1.fastq	28V3V4_R2.fastq	T1	Gut	3	D4	D4S3GT1	0.662251656	0	8.52	0.05	59.62	31.25	6.81	1	0	1
29V3V4	29V3V4_R1.fastq	29V3V4_R2.fastq	T1	Gut	4	D4	D4S4GT1	0.662251656	0	8.52	0.05	59.62	31.25	6.81	1	0	1
30V3V4	30V3V4_R1.fastq	30V3V4_R2.fastq	T1	Gut	5	D4	D4S5GT1	0.662251656	0	8.52	0.05	59.62	31.25	6.81	1	0	1
31V3V4	31V3V4_R1.fastq	31V3V4_R2.fastq	T1	Gut	1	C3	C3S1GT1	0.840336134	0	8.32	0.07	59.62	31.55	6.07	1	0	1
32V3V4	32V3V4_R1.fastq	32V3V4_R2.fastq	T1	Gut	2	C3	C3S2GT1	0.840336134	0	8.32	0.07	59.62	31.55	6.07	1	0	1
33V3V4	33V3V4_R1.fastq	33V3V4_R2.fastq	T1	Gut	3	C3	C3S3GT1	0.840336134	0	8.32	0.07	59.62	31.55	6.07	1	0	1
34V3V4	34V3V4_R1.fastq	34V3V4_R2.fastq	T1	Gut	4	C3	C3S4GT1	0.840336134	0	8.32	0.07	59.62	31.55	6.07	1	0	1
35V3V4	35V3V4_R1.fastq	35V3V4_R2.fastq	T1	Gut	5	C3	C3S5GT1	0.840336134	0	8.32	0.07	59.62	31.55	6.07	1	0	1
36V3V4	36V3V4_R1.fastq	36V3V4_R2.fastq	T1	Gut	1	C6	C6S1GT1	0.486223663	0	8.35	0.19	59.62	31.27	6.41	1	0	1
37V3V4	37V3V4_R1.fastq	37V3V4_R2.fastq	T1	Gut	2	C6	C6S2GT1	0.486223663	0	8.35	0.19	59.62	31.27	6.41	1	0	1
38V3V4	38V3V4_R1.fastq	38V3V4_R2.fastq	T1	Gut	3	C6	C6S3GT1	0.486223663	0	8.35	0.19	59.62	31.27	6.41	1	0	1
39V3V4	39V3V4_R1.fastq	39V3V4_R2.fastq	T1	Gut	4	C6	C6S4GT1	0.486223663	0	8.35	0.19	59.62	31.27	6.41	1	0	1
40V3V4	40V3V4_R1.fastq	40V3V4_R2.fastq	T1	Gut	5	C6	C6S5GT1	0.486223663	0	8.35	0.19	59.62	31.27	6.41	1	0	1
41V3V4	41V3V4_R1.fastq	41V3V4_R2.fastq	T2	Gut	1	D1	D1S1GT2	2.9296875	0.03	8.18	0.4	114.12	32.47	5.29	1	0	1
42V3V4	42V3V4_R1.fastq	42V3V4_R2.fastq	T2	Gut	2	D1	D1S2GT2	2.9296875	0.03	8.18	0.4	114.12	32.47	5.29	1	0	1
43V3V4	43V3V4_R1.fastq	43V3V4_R2.fastq	T2	Gut	3	D1	D1S3GT2	2.9296875	0.03	8.18	0.4	114.12	32.47	5.29	1	0	1
44V3V4	44V3V4_R1.fastq	44V3V4_R2.fastq	T2	Gut	4	D1	D1S4GT2	2.9296875	0.03	8.18	0.4	114.12	32.47	5.29	1	0	1
45V3V4	45V3V4_R1.fastq	45V3V4_R2.fastq	T2	Gut	5	D1	D1S5GT2	2.9296875	0.03	8.18	0.4	114.12	32.47	5.29	1	0	1
46V3V4	46V3V4_R1.fastq	46V3V4_R2.fastq	T2	Gut	1	D4	D4S1GT2	2.272727273	0	8.24	0.51	117.01	32.23	6.41	1	0	1
47V3V4	47V3V4_R1.fastq	47V3V4_R2.fastq	T2	Gut	2	D4	D4S2GT2	2.272727273	0	8.24	0.51	117.01	32.23	6.41	1	0	1
48V3V4	48V3V4_R1.fastq	48V3V4_R2.fastq	T2	Gut	3	D4	D4S3GT2	2.272727273	0	8.24	0.51	117.01	32.23	6.41	1	0	1
49V3V4	49V3V4_R1.fastq	49V3V4_R2.fastq	T2	Gut	4	D4	D4S4GT2	2.272727273	0	8.24	0.51	117.01	32.23	6.41	1	0	1
50V3V4	50V3V4_R1.fastq	50V3V4_R2.fastq	T2	Gut	5	D4	D4S5GT2	2.272727273	0	8.24	0.51	117.01	32.23	6.41	1	0	1
51V3V4	51V3V4_R1.fastq	51V3V4_R2.fastq	T2	Gut	1	C3	C3S1GT2	0.373831776	0	8.07	0.28	131.54	32.38	5.51	1	0	1
52V3V4	52V3V4_R1.fastq	52V3V4_R2.fastq	T2	Gut	2	C3	C3S2GT2	0.373831776	0	8.07	0.28	131.54	32.38	5.51	1	0	1
53V3V4	53V3V4_R1.fastq	53V3V4_R2.fastq	T2	Gut	3	C3	C3S3GT2	0.373831776	0	8.07	0.28	131.54	32.38	5.51	1	0	1
54V3V4	54V3V4_R1.fastq	54V3V4_R2.fastq	T2	Gut	4	C3	C3S4GT2	0.373831776	0	8.07	0.28	131.54	32.38	5.51	1	0	1
55V3V4	55V3V4_R1.fastq	55V3V4_R2.fastq	T2	Gut	5	C3	C3S5GT2	0.373831776	0	8.07	0.28	131.54	32.38	5.51	1	0	1
56V3V4	56V3V4_R1.fastq	56V3V4_R2.fastq	T2	Gut	1	C6	C6S1GT2	0.696864111	0.03	8.34	0.48	134.44	31.79	6.17	1	0	1
57V3V4	57V3V4_R1.fastq	57V3V4_R2.fastq	T2	Gut	2	C6	C6S2GT2	0.696864111	0.03	8.34	0.48	134.44	31.79	6.17	1	0	1
58V3V4	58V3V4_R1.fastq	58V3V4_R2.fastq	T2	Gut	3	C6	C6S3GT2	0.696864111	0.03	8.34	0.48	134.44	31.79	6.17	1	0	1
59V3V4	59V3V4_R1.fastq	59V3V4_R2.fastq	T2	Gut	4	C6	C6S4GT2	0.696864111	0.03	8.34	0.48	134.44	31.79	6.17	1	0	1
60V3V4	60V3V4_R1.fastq	60V3V4_R2.fastq	T2	Gut	5	C6	C6S5GT2	0.696864111	0.03	8.34	0.48	134.44	31.79	6.17	1	0	1
61V3V4	61V3V4_R1.fastq	61V3V4_R2.fastq	T3	Gut	1	C3	C3S1T3	1.313320826	0	8.04	0.45	159.87	31.56	6.83	1	0	1
